word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Esaah,I read Runyoro/ Rutooro for two hours.,Nsoma Runyoro/Rutooro kumara esaah Ibiri.,Nsoma Runyoro/Rutooro kumara esaah Ibiri.,I read Runyoro/ Rutooro for two hours.,,,Both,,
Eseeta,"Myrrh has good fragrance and when mixed with other items, it produces strong fragrance.",Eseeta eboya kandi obweteranizibwa nebirungo ebiindi ekuura kurungi.,Eseeta eboya kandi obweteranizibwa nebirungo ebiindi ekuura kurungi.,"Myrrh has good fragrance and when mixed with other items, it produces strong fragrance.",,,Both,,
Omusimao,A candle is lit at the beginning of mass.,Omusimao gucumukwa missa obweba netandika.,Omusimao gucumukwa missa obweba netandika.,A candle is lit at the beginning of mass.,,,Both,,
Cibolimu,Ciborium is where Eucharist are kept.,Cobolimu niyo erinda omugati navino.,Cobolimu niyo erinda omugati navino.,Ciborium is where Eucharist are kept.,,,Both,,
Ekikompe,The chalice is the cup used for wine during holy communion.,Ekikompe kyavini omusakaramento eyokwirra.,Ekikompe kyavini omusakaramento eyokwirra.,The chalice is the cup used for wine during holy communion.,,,Both,,
kubungira abalimi nabalisa,a field day is the learning eventbheld on a farm where farmers observe and learn improved farming practices,abalimi nabalisa kiro ryokubunga begeramu bingi nambere baba babungire,abalimi nabalisa kiro ryokubunga begeramu bingi nambere baba babungire,a field day is the learning eventbheld on a farm where farmers observe and learn improved farming practices,,,Both,,
ebisasiro,garbage collect and burn them,bikuwakume hamu obyokye,bikuwakume hamu obyokye,garbage collect and burn them,,,Both,,
ekirisira,u are lacking nutrition in the body,taina kirisa mumobirigwawe,taina kirisa mumobirigwawe,u are lacking nutrition in the body,,,Both,,
kukebera amaaso nokwaguza gaabindi,optician tests babona eye and given glasses,babona agenzire kukeberwa amaiso bamuguza garubindi,babona agenzire kukeberwa amaiso bamuguza garubindi,optician tests babona eye and given glasses,,,Both,,
omutumu wa abaana,the pediatriacian since morning no rest,kuruga nyenkya omufumu wabaana takahuwireho th,kuruga nyenkya omufumu wabaana takahuwireho th,the pediatriacian since morning no rest,,,Both,,
ebyafaayo,The history of Bunyoro Kitara is known.,Ebyafaayo bya Bunyoro Kitara tubimanyire.,Ebyafaayo bya Bunyoro Kitara tubimanyire.,The history of Bunyoro Kitara is known.,,,Both,,
Kurusifikisi,The crucifix is a cross with Jesus’ portrait.,Kurusifikisi musaraba oguroho ekisisani Kya Yesu.,Kurusifikisi musaraba oguroho ekisisani Kya Yesu.,The crucifix is a cross with Jesus’ portrait.,,,Both,,
Ekisisani,There are many icons in the Catholic Church.,Ebisisani bya Yesu biba bingi mukereziya.,Ebisisani bya Yesu biba bingi mukereziya.,There are many icons in the Catholic Church.,,,Both,,
enganikyo,We have many historical tales.,Enganikyo ezenyuma twinanyingi.,Enganikyo ezenyuma twinanyingi.,We have many historical tales.,,,Both,,
Hati,Please come here now.,Caali ija hanu hati.,Caali ija hanu hati.,Please come here now.,,,Both,,
Ekibumba,Statues are sold expensively .,Ebibumba babitunda sente nyiingi.,Ebibumba babitunda sente nyiingi.,Statues are sold expensively .,,,Both,,
kugarra omuntumenteeko,the therapist helps jane is now okay,jane abaire aburanganizibwe baita bamugarwaire buhyaka agumire,jane abaire aburanganizibwe baita bamugarwaire buhyaka agumire,the therapist helps jane is now okay,,,Both,,
omurwairwe,the HIV patient give instructions of eating well,omurwaire wa sirimu bamuragire kurya kurungi nukwo amire emibazi,omurwaire wa sirimu bamuragire kurya kurungi nukwo amire emibazi,the HIV patient give instructions of eating well,,,Both,,
akukozesa obuhereza,the client is good,obuhereza akukozesa abwiha mwomuntu omu abamurungi,obuhereza akukozesa abwiha mwomuntu omu abamurungi,the client is good,,,Both,,
edwaire,akid is having measles,omwana aine endwaire yoliseru,omwana aine endwaire yoliseru,akid is having measles,,,Both,,
irwarro,buhinga hospital is far,irwarro rya buhingo rya bavumenti,irwarro rya buhingo rya bavumenti,buhinga hospital is far,,,Both,,
irwarro eri taito,go to that clinic,genda hali hairrwarro eritaito,genda hali hairrwarro eritaito,go to that clinic,,,Both,,
kuburwamu ekirisa,the child is looking bad because of under nutrition,omumwana kuburwamu ekirisa nzooka kubi,omumwana kuburwamu ekirisa nzooka kubi,the child is looking bad because of under nutrition,,,Both,,
okubonabo,people are futhering because of food,abantu okubonabona habwebyokurya kubura,abantu okubonabona habwebyokurya kubura,people are futhering because of food,,,Both,,
enjara,students are very hungry at school,enjara abaana ebarukubi omwisomero,enjara abaana ebarukubi omwisomero,students are very hungry at school,,,Both,,
kiihe,because of too much rain the sides of the mountain are in famione,kiihe etire omubirweka byensozi habwenjura nyamwingi,kiihe etire omubirweka byensozi habwenjura nyamwingi,because of too much rain the sides of the mountain are in famione,,,Both,,
Esapuli,Rosary helps a person to pray when devoted to it.,Esapuli ekonyera omuntu kussoma kurungi ataireho omutiima.,Esapuli ekonyera omuntu kussoma kurungi ataireho omutiima.,Rosary helps a person to pray when devoted to it.,,,Both,,
Enkwanzi,Prayer beads are great because every bead has a word to tell.,Enkwanzi ze sapuli zomugaso muno habwookuba buli rukwanzi rwina ekigambo.,Enkwanzi ze sapuli zomugaso muno habwookuba buli rukwanzi rwina ekigambo.,Prayer beads are great because every bead has a word to tell.,,,Both,,
Omugaju,Incense smells so nice.,Omugaju guboya kurungi muno.,Omugaju guboya kurungi muno.,Incense smells so nice.,,,Both,,
rwegesibwa emikorre empya,in training farmers learn new knowledge and practical skills needed to farm better,abalimi nabalisa begesibwa emikorre empyaka hamunamagezi amakyaka kukora kurungi,abalimi nabalisa begesibwa emikorre empyaka hamunamagezi amakyaka kukora kurungi,in training farmers learn new knowledge and practical skills needed to farm better,,,Both,,
rwegesa rwegesibwa rukora nokwemanyiza,in the workshop farmers learn farming skills through practical instruction and participation,omukwegesibwa omunkwato abalimi nabaliisa begesibwa kandi bahebwa obukugu,omukwegesibwa omunkwato abalimi nabaliisa begesibwa kandi bahebwa obukugu,in the workshop farmers learn farming skills through practical instruction and participation,,,Both,,
Obubaani,Frankincense is used at the beginning of mass.,Obubaani bukozesibwa hakutandika kwamisa.,Obubaani bukozesibwa hakutandika kwamisa.,Frankincense is used at the beginning of mass.,,,Both,,
omurwaire akurugaaheeru,the patient coming out for treatment .,omurwaire naruga aheeru naija kijanjabwa,omurwaire naruga aheeru naija kijanjabwa,the patient coming out for treatment .,,,Both,,
kuhabwa ekitabu,she has been admitted,nyina nyowe bemuha ekitabu,nyina nyowe bemuha ekitabu,she has been admitted,,,Both,,
bamuragire,she was discharged,mau bamuragire ali muka,mau bamuragire ali muka,she was discharged,,,Both,,
ekyotooni,escort your younger brother to the toilet,sendekereza muto wawe ekyoroni kiri kuli,sendekereza muto wawe ekyoroni kiri kuli,escort your younger brother to the toilet,,,Both,,
oburofu,there is too much sewage we areb going to be sick,oburofu buhinguzi nenitwiffa kurwara,oburofu buhinguzi nenitwiffa kurwara,there is too much sewage we areb going to be sick,,,Both,,
ebitaine mugaso,unwanted materials take and throw them,ebitaine mugaso bitwale obinage,ebitaine mugaso bitwale obinage,unwanted materials take and throw them,,,Both,,
ebirykuleeta amaani,we can teach food which carbohydrates in our body,ebyokuryaq ebirukuleeta amaani mumbiri yaitu tubyegese,ebyokuryaq ebirukuleeta amaani mumbiri yaitu tubyegese,we can teach food which carbohydrates in our body,,,Both,,
ekisajwa,you have alot of fats,ekisajwa okiine kingi,ekisajwa okiine kingi,you have alot of fats,,,Both,,
ameani,energy comes from food,amani ganiga mukurya,amani ganiga mukurya,energy comes from food,,,Both,,
amaryamabi,the old man has less energy becaouse of vmalnutrition,amarya mabi galeteri fe omugusi kuhwa amaani,amarya mabi galeteri fe omugusi kuhwa amaani,the old man has less energy becaouse of vmalnutrition,,,Both,,
omufumu wa bakazi,the gynecologist has come,omufumu arukujanja abakazi enerwaire zoona euzire,omufumu arukujanja abakazi enerwaire zoona euzire,the gynecologist has come,,,Both,,
omufumu wabakazi benda nabaana bakuzaanarwa,the obstretrician worked on pregnancy women and three child birth,omufumu akebiire abakazi yazaaza abaana basatu,omufumu akebiire abakazi yazaaza abaana basatu,the obstretrician worked on pregnancy women and three child birth,,,Both,,
emirire,eat diet food,orye ebyokurya ebira kuletera buru kirisa emirire,orye ebyokurya ebira kuletera buru kirisa emirire,eat diet food,,,Both,,
ebyokurya,nutritious food is important,ebyokurya ebyekinsa birwagi nambiri yautu,ebyokurya ebyekinsa birwagi nambiri yautu,nutritious food is important,,,Both,,
ekirunyo,vitamin in the body,ekirungi omumubiri,ekirungi omumubiri,vitamin in the body,,,Both,,
ebinsa byomumubiri,the doctor given him mineral tablets,amuhaire omubazi gwebirisa,amuhaire omubazi gwebirisa,the doctor given him mineral tablets,,,Both,,
kwekebeza butoosa,routine examination is good to the situation,kirunji okwekebeza butoosa kumanya bwekuli,kirunji okwekebeza butoosa kumanya bwekuli,routine examination is good to the situation,,,Both,,
ekyomakimuku mulika mumubiri,i referred to buhinga for ex-ray,bansindikire buhinga kuteekamu ekyomakinuku mulika mumubira,bansindikire buhinga kuteekamu ekyomakinuku mulika mumubira,i referred to buhinga for ex-ray,,,Both,,
ekisisani ekirukumulika,they referred him to the scan,bamutwaire ekyoma ekirukumulike munda omwana nkoku ali,bamutwaire ekyoma ekirukumulike munda omwana nkoku ali,they referred him to the scan,,,Both,,
kumulika mumubiri nomu magufa,they will put you in MRI they see want is paining,baija kumuruku mumbimnna magufa barole ekinkikusaasa,baija kumuruku mumbimnna magufa barole ekinkikusaasa,they will put you in MRI they see want is paining,,,Both,,
kurora omubiri munda na heera,tomorrow they do ct scan and see,kukurora omubiri munda naheera weena nyekyekya,kukurora omubiri munda naheera weena nyekyekya,tomorrow they do ct scan and see,,,Both,,
Amagita g’omugisa,Holy oil is anointed by religious leaders.,Amagita g’omugisa gezibwa abebembezi bediini.,Amagita g’omugisa gezibwa abebembezi bediini.,Holy oil is anointed by religious leaders.,,,Both,,
kusaraenseke,a tubligated woman never produce again,omukazi kusara enseke naba atakyakyongera kuzaava,omukazi kusara enseke naba atakyakyongera kuzaava,a tubligated woman never produce again,,,Both,,
Kulisima,Chrism is oil used during sacraments.,Kulisima gaba magita ga sakaramento.,Kulisima gaba magita ga sakaramento.,Chrism is oil used during sacraments.,,,Both,,
Ebijwaro ebisoroirwe,Religious garments are worn by religious leaders.,Ebijwaro ebisoroirwe bikozesibwa abakuru be diini.,Ebijwaro ebisoroirwe bikozesibwa abakuru be diini.,Religious garments are worn by religious leaders.,,,Both,,
edwaire enzirukuvaba,to avoid sexual transimitted infection put on condoms,otaija kukwatwa enwaire ezirukuvaba omukutevava yehaho akapiira,otaija kukwatwa enwaire ezirukuvaba omukutevava yehaho akapiira,to avoid sexual transimitted infection put on condoms,,,Both,,
omutumu womutima,the doctor said that the patient should start medicine immediately,omufumo eomutima agambire omurwaire gugenda kumukebera,omufumo eomutima agambire omurwaire gugenda kumukebera,the doctor said that the patient should start medicine immediately,,,Both,,
omtumu wobwogo,the neurologist doctor make un appontment with apatient tom go for sting,omutumu wobwogwo nebinywa araganize omurwaire gugenda kumukebera,omutumu wobwogwo nebinywa araganize omurwaire gugenda kumukebera,the neurologist doctor make un appontment with apatient tom go for sting,,,Both,,
omutumu webitekerezo,the metal heaith doctor told the patient that he should reduce on stress,omufumu webitekerezo agambiire omurwaire kulengaho kukeehya omwe omubudabudi nuuso,omufumu webitekerezo agambiire omurwaire kulengaho kukeehya omwe omubudabudi nuuso,the metal heaith doctor told the patient that he should reduce on stress,,,Both,,
ombukugu we byobwomeezi bwebitekerezo,fr fubara a mental health professional helped him,omusasaradoti kabura omukuguwe byobwomeezi bwebitekerezo amukonyire,omusasaradoti kabura omukuguwe byobwomeezi bwebitekerezo amukonyire,fr fubara a mental health professional helped him,,,Both,,
omuhabuzi,a conselor helps us on stress,omuhabuzi mukuru atukunyire mwenuubo,omuhabuzi mukuru atukunyire mwenuubo,a conselor helps us on stress,,,Both,,
kyokihumulizamu ekisiika omurwa,the patient is taken to emergency room,bamutwaire omurwaire omukisika kyohumuruzenamu,bamutwaire omurwaire omukisika kyohumuruzenamu,the patient is taken to emergency room,,,Both,,
kukebera esagama,go to the lab for blood testing,gende omwibererro bakukebera esagama,gende omwibererro bakukebera esagama,go to the lab for blood testing,,,Both,,
kukebedo,why dont you go and do a urine test,habwaki otagenda kubera ekiseso bakarora ekizukusaasa,habwaki otagenda kubera ekiseso bakarora ekizukusaasa,why dont you go and do a urine test,,,Both,,
kukebera obubi,testing stool maybe its step worm,kukebera obubi barole obundi njoka zendambi,kukebera obubi barole obundi njoka zendambi,testing stool maybe its step worm,,,Both,,
omukoziwe byobwomeezi,they have brought a healthyworker in the hospital,balesire omukoziwe byobwomeezi omwaniro,balesire omukoziwe byobwomeezi omwaniro,they have brought a healthyworker in the hospital,,,Both,,
okwombeka omubiri,you must eat protein foods,oine kurye habwa okwombeka omubiri,oine kurye habwa okwombeka omubiri,you must eat protein foods,,,Both,,
Endagaano enkuru,The Old Testament talks about events before Jesus’ birth.,Endagaano enkuru ebazaho Yesu atakazairwe.,Endagaano enkuru ebazaho Yesu atakazairwe.,The Old Testament talks about events before Jesus’ birth.,,,Both,,
Endagaano empyaka,The New Testament talks about Jesus’ birth.,Endagaano empyaka ebazaho okuzaarwa kwa Yesu.,Endagaano empyaka ebazaho okuzaarwa kwa Yesu.,The New Testament talks about Jesus’ birth.,,,Both,,
Amakuru amarungi,The gospel about the birth of Jesus.,Amakuru amarungi ag’okuzarwa kwa Yesu.,Amakuru amarungi ag’okuzarwa kwa Yesu.,The gospel about the birth of Jesus.,,,Both,,
Ebitabu byamusa,The first five books of the Hebrew Bible were written by Moses.,Ebitabu byamusa,Ebitabu byamusa,The first five books of the Hebrew Bible were written by Moses.,,,Both,,
Turumuda,Talmud is the central text of Rabbinic Judaism.,Turumuda kihandiko kyabayudaya.,Turumuda kihandiko kyabayudaya.,Talmud is the central text of Rabbinic Judaism.,,,Both,,
kwetegereza endwaire,they have identified kajoima is HIV positive,kajoina bamazire kwetegereza aine sirimu,kajoina bamazire kwetegereza aine sirimu,they have identified kajoima is HIV positive,,,Both,,
okuhindukaho kwomunoaire,the doctor told the patient about the prognosis after taking tne drugs,omufumu egambire okuhindukaho,omufumu egambire okuhindukaho,the doctor told the patient about the prognosis after taking tne drugs,,,Both,,
kusindikwa habujanjobi,he has been referred to referral hospital,bamusindikire mwirwarro erikooto kufunga obwanja obukizireho,bamusindikire mwirwarro erikooto kufunga obwanja obukizireho,he has been referred to referral hospital,,,Both,,
entekaniza yokutangana,i made an appointment with the doctor at 2pm,nkozire entekaniza yokutangana omufumu saaha munaza nyamusana,nkozire entekaniza yokutangana omufumu saaha munaza nyamusana,i made an appointment with the doctor at 2pm,,,Both,,
kwekaguzaaaho omufumu,l need to consult the doctor for this disease,omufumu ningonza kwekaguzaaho handwale ntugireth,omufumu ningonza kwekaguzaaho handwale ntugireth,l need to consult the doctor for this disease,,,Both,,
kwekebuja butoosa,let them examine me and see,leka b akole kwbijabarole byona,leka b akole kwbijabarole byona,let them examine me and see,,,Both,,
Omusimao nkekihongwa,Catholics light votive candles.,Abakatulika bagira omusimao nkekihongwa.,Abakatulika bagira omusimao nkekihongwa.,Catholics light votive candles.,,,Both,,
Amagita,He was anointed with oil.,Asigiirwe amagita.,Asigiirwe amagita.,He was anointed with oil.,,,Both,,
Amaizi g’omugisa,Holy water is sprinkled on people in church.,Amaizi g’omugisa gamisirwa abantu omukanisa.,Amaizi g’omugisa gamisirwa abantu omukanisa.,Holy water is sprinkled on people in church.,,,Both,,
Ibatirizo,People are baptized at the baptismal font.,Abantu babatiriza ha’ibatirizo.,Abantu babatiriza ha’ibatirizo.,People are baptized at the baptismal font.,,,Both,,
kusara akasuru,he was circumcised at the age of nine years,hanyuma yemwenzi mwenda baka musara ho akasusu,hanyuma yemwenzi mwenda baka musara ho akasusu,he was circumcised at the age of nine years,,,Both,,
Canta,A chant is a song of praise sung with a lot of enthusiasm.,Canta kizina kyokukuhiza kandi kizinwa nomuhimbo.,Canta kizina kyokukuhiza kandi kizinwa nomuhimbo.,A chant is a song of praise sung with a lot of enthusiasm.,,,Both,,
oburwale bwokuhyererra,she got herpes and it has developed into wounds,ahyererire omubiri harugiremu nebihooya.,ahyererire omubiri harugiremu nebihooya.,she got herpes and it has developed into wounds,,,Runyoro,,
Korani,A Quran is the Islamic sacred book,Korani kitabu kirukwera ky’abasiiramu.,Korani kitabu kirukwera ky’abasiiramu.,A Quran is the Islamic sacred book,,,Both,,
Hadisi,Hadith are a collection of sayings of the Prophet Muhammad.,Hadisi nibyo ebigambo ebya Nabbi Muhamadi yabalize,Hadisi nibyo ebigambo ebya Nabbi Muhamadi yabalize,Hadith are a collection of sayings of the Prophet Muhammad.,,,Both,,
ekokoro yanyinenda,she got papillomavins,atungire ekokoro yehamunwagwanyinenda,atungire ekokoro yehamunwagwanyinenda,she got papillomavins,,,Both,,
oburwaire atakumanyima ahonaho,he got AIDS because of sexual without a condom,ntakimanya ahonaho bautu hanyuma yekwebeza,ntakimanya ahonaho bautu hanyuma yekwebeza,he got AIDS because of sexual without a condom,,,Both,,
ebijaga,a woman was diagonised with syphilis,omukazi omufumu akwasinemu endwaire yebijaga,omukazi omufumu akwasinemu endwaire yebijaga,a woman was diagonised with syphilis,,,Both,,
enzuku,the old man is suffering from gonorrhea,omugurusi arwaire enzikuku,omugurusi arwaire enzikuku,the old man is suffering from gonorrhea,,,Both,,
akahuka akarukuryampwa,she got antibitics friom the doctor,omufuimino asangire akahuka akakurya mpora kamukuraire yamuha embazi,omufuimino asangire akahuka akakurya mpora kamukuraire yamuha embazi,she got antibitics friom the doctor,,,Both,,
kukebera oburwaire,let them bring him testingtesting for diseases,leka bamulete kumukebera oburwaire,leka bamulete kumukebera oburwaire,let them bring him testingtesting for diseases,,,Both,,
kuserwiza ebyobwomeezi,the doctor is gong through amedical procedures,omutumu nayekebija kuseruruza ebyibwanazi,omutumu nayekebija kuseruruza ebyibwanazi,the doctor is gong through amedical procedures,,,Both,,
Omwenagiro,A robe is similar to a gown.,Omwenagiro nugusiisana busuti.,Omwenagiro nugusiisana busuti.,A robe is similar to a gown.,,,Both,,
Ebyahandikirwe,The scriptures were written with the inspiration of the Holy Spirit.,Ebyahandikirwe bikahandikibwa omwooyo Arukwera.,Ebyahandikirwe bikahandikibwa omwooyo Arukwera.,The scriptures were written with the inspiration of the Holy Spirit.,,,Both,,
Baibuli erikwera,The holy Bible talks about God’s love.,Baibuli erikwera ebazaho okugonza kwa Ruhanga.,Baibuli erikwera ebazaho okugonza kwa Ruhanga.,The holy Bible talks about God’s love.,,,Both,,
Ag`enyabusatu,Waltz is performed in pairs moving around in circles.,Amazina ag`enyabusatu gazinibwa omukazi n`omusaija bakwataine nibeteroora.,Amazina ag`enyabusatu gazinibwa omukazi n`omusaija bakwataine nibeteroora.,Waltz is performed in pairs moving around in circles.,,,Both,,
ebyahingwire,Thank for telling us the things from the past.,Webale kutugambira ebyahingwire nkoku byali.,Webale kutugambira ebyahingwire nkoku byali.,Thank for telling us the things from the past.,,,Both,,
kwijuka,Please remember tomorrow's meeting.,Orukurato rwanyenkya.,Orukurato rwanyenkya.,Please remember tomorrow's meeting.,,,Both,,
Ebizina by'ekihindi.,"Bollywood music involves acting, dancing and musical instruments.",Ebizina by'ekihindi birimu kuzaana ebidongo n'okucekeca.,Ebizina by'ekihindi birimu kuzaana ebidongo n'okucekeca.,"Bollywood music involves acting, dancing and musical instruments.",,,Both,,
Amazina gengonzi,They performed the rumba dance at the competitions.,Hampaka bakiza amazina g`engonzi.,Hampaka bakiza amazina g`engonzi.,They performed the rumba dance at the competitions.,,,Both,,
Amazina ga ca-ca-ca,Cha-cha dance also reached in uganda in the 60`s and 70`s.,Amazina ga ca-ca-ca nomu Uganda gakahikamu mumyaaka yenkaaga ne 70.,Amazina ga ca-ca-ca nomu Uganda gakahikamu mumyaaka yenkaaga ne 70.,Cha-cha dance also reached in uganda in the 60`s and 70`s.,,,Both,,
Age nyabusatu n`enyabubiri,Swing dance goes well with European music.,Age nyabusatu n`enyabubiri gagendera habidongo by`abajungu.,Age nyabusatu n`enyabubiri gagendera habidongo by`abajungu.,Swing dance goes well with European music.,,,Both,,
entekaniza y'amazina,The dance choreography encouraged people to watch up to the end.,Akatekaniza amazina kurungi abantu bakaba batarukugonza gahweeyo.,Akatekaniza amazina kurungi abantu bakaba batarukugonza gahweeyo.,The dance choreography encouraged people to watch up to the end.,,,Both,,
orubaza rwomu,kagenda 'speech has taken an hour,kagenda abalize esaaha yoora abantu bajwana,kagenda abalize esaaha yoora abantu bajwana,kagenda 'speech has taken an hour,,,Both,,
hagatinahagati,Apuuli you have begun the story from the middle.,Orubazo Apuuli kuwarutandikira hagati.,Orubazo Apuuli kuwarutandikira hagati.,Apuuli you have begun the story from the middle.,,,Both,,
Agorutege ga Jamaica.,The dancehall genre is quick and energytic.,Amazina ogorutege aga Jamaica bagazina n'amaani kandi nibarabikiriza.,Amazina ogorutege aga Jamaica bagazina n'amaani kandi nibarabikiriza.,The dancehall genre is quick and energytic.,,,Both,,
kuhwehwetena,jane whispered to john what is going to happen,jane yahwehweterra john ekirabaho,jane yahwehweterra john ekirabaho,jane whispered to john what is going to happen,,,Both,,
kulenera hara,Murungi saw what will come in the near future.,Murungialengiire hara ebiraija omubwire bwommumaiso.,Murungialengiire hara ebiraija omubwire bwommumaiso.,Murungi saw what will come in the near future.,,,Both,,
kubaza kyonyini,"it,s you who stubbed the man",niwe ocumisive omusaija,niwe ocumisive omusaija,"it,s you who stubbed the man",,,Both,,
ebyabaireho,Cain killed Abel.,Kaini akaita Aberi.,Kaini akaita Aberi.,Cain killed Abel.,,,Both,,
kubalizaamu,she told him she had already eaten,amugambiire amazire ira kurya,amugambiire amazire ira kurya,she told him she had already eaten,,,Both,,
Kucekeca amazina,The dancer displayed all technics and people appreciated .,Akooleka emiringoye yoona mukuzina abantu basiima.,Akooleka emiringoye yoona mukuzina abantu basiima.,The dancer displayed all technics and people appreciated .,,,Both,,
omugambirizi asobome,the narrator was perfect,omugambinzi abaire munungi,omugambinzi abaire munungi,the narrator was perfect,,,Both,,
orulimi rwawe,she spoke in her own language.,abalize omunulimirwe omutooro,abalize omunulimirwe omutooro,she spoke in her own language.,,,Both,,
Sarusa karantini y'america.,Salsa a dance from latin America has not been accessed by Africans.,Sarusa aga Rantina America abarukwiragura baguziine.,Sarusa aga Rantina America abarukwiragura baguziine.,Salsa a dance from latin America has not been accessed by Africans.,,,Both,,
orulimi onutali rwabuwaro,he spoke the language all of us didnt understand,nkabaza omulimi hwe tutarwetegereze,nkabaza omulimi hwe tutarwetegereze,he spoke the language all of us didnt understand,,,Both,,
ebyabulikiro,she always uses the word am sorry everyday,akira kukozesa ekigambo nganyira bulikiro,akira kukozesa ekigambo nganyira bulikiro,she always uses the word am sorry everyday,,,Both,,
Amazina ga birobinu,contemporary art lasts for a very short time.,Amazina ga birobinu gobwire buke muno.,Amazina ga birobinu gobwire buke muno.,contemporary art lasts for a very short time.,,,Both,,
Samba aga Baraziro.,Samba a genre from Brazil was at large in Uganda during the 60's and 70's.,Samba aga Baraziro na kunu Uganda gakahikayo mumwaaka y'enkaaga.,Samba aga Baraziro na kunu Uganda gakahikayo mumwaaka y'enkaaga.,Samba a genre from Brazil was at large in Uganda during the 60's and 70's.,,,Both,,
kusorongya,Akiiki did her chronology arrangement well.,Akiiki asorongoze entekanizaye.,Akiiki asorongoze entekanizaye.,Akiiki did her chronology arrangement well.,,,Both,,
omugambirizi/omuhandiki,the narrator knows how to use styles,omugambirizi amanyire kukozesa obukadyo,omugambirizi amanyire kukozesa obukadyo,the narrator knows how to use styles,,,Both,,
kutebya,The old man told us a story of how things were long ago.,Omugurusi yatutebeza nkoku ebyakara byabaga.,Omugurusi yatutebeza nkoku ebyakara byabaga.,The old man told us a story of how things were long ago.,,,Both,,
Omutekaniza w'amazina.,The choreographer composed a nice creative dance.,Omutekaniza w'amazina akeecwereena amazina marungi.,Omutekaniza w'amazina akeecwereena amazina marungi.,The choreographer composed a nice creative dance.,,,Both,,
kubalirra ebigambo,"the author,s dictio was very descriptive",baguma rbimbobye nabibalirrathe,baguma rbimbobye nabibalirrathe,"the author,s dictio was very descriptive",,,Both,,
ebitakukwatagana,Your story is not flowing.,Konobaza ebitaru kwatagana.,Konobaza ebitaru kwatagana.,Your story is not flowing.,,,Both,,
entekaniza,"kabunkya,s words are very well arranged",kabukya atekekanize kurungi ebigamboye,kabukya atekekanize kurungi ebigamboye,"kabunkya,s words are very well arranged",,,Both,,
kutekaniza ebizina,The teacher gave helpful advice during the final rehearsal.,Hakutekaniza ebizina okwokumaliirra omusomesa akabahabura muno.,Hakutekaniza ebizina okwokumaliirra omusomesa akabahabura muno.,The teacher gave helpful advice during the final rehearsal.,,,Both,,
Kizina nyaruganikyo,The ballad was talking about how the husband divorced her.,EKizina nyaruganikyo kikaba nikibazaho nkoku iba yamulekere.,EKizina nyaruganikyo kikaba nikibazaho nkoku iba yamulekere.,The ballad was talking about how the husband divorced her.,,,Both,,
omutwe gworuganikyo,The story about kaluigi,oruganikyo rwa kahugi,oruganikyo rwa kahugi,The story about kaluigi,,,Both,,
kuhehezakwe,"the author,s tone brought everyone closer",kweheheza kwomugambi,kweheheza kwomugambi,"the author,s tone brought everyone closer",,,Both,,
Omuzini w'amazina Nyaruganikyo.,The Ballerina danced beautiful on her toes.,"Omuzini w'amazina Nyaruganikyo, akazina kurungi ha Bunkenke.","Omuzini w'amazina Nyaruganikyo, akazina kurungi ha Bunkenke.",The Ballerina danced beautiful on her toes.,,,Both,,
ebiraija,From his plan show us what will be done.,Mungenderwaho yayoleka ebitulikora.,Mungenderwaho yayoleka ebitulikora.,From his plan show us what will be done.,,,Both,,
empanuura,when l call dont respond kaija and we see,nyowe obundayeta owire otangarukamu kwa turoke,nyowe obundayeta owire otangarukamu kwa turoke,when l call dont respond kaija and we see,,,Both,,
Amazina ga Jamaika.,The late Lucky Dube was expert at dancing Reggae.,Omugenzi Rucky Dube yazinaga amazina ga Jaimaika.,Omugenzi Rucky Dube yazinaga amazina ga Jaimaika.,The late Lucky Dube was expert at dancing Reggae.,,,Both,,
okuswekerra,The dark clouds gathering outside.,Ebicu birukwiragura biswekerire.,Ebicu birukwiragura biswekerire.,The dark clouds gathering outside.,,,Both,,
omuzaani omu,The narrator only knows about jane only,omusubirizi amanyire omuzaani jane wenka,omusubirizi amanyire omuzaani jane wenka,The narrator only knows about jane only,,,Both,,
Oruganikyo mumuzaano ogucookerwe,"He first wrote the libretto, then he set it's sound.","Akabanza yahandiika oruganikyo, nukwo yatamu iraka.","Akabanza yahandiika oruganikyo, nukwo yatamu iraka.","He first wrote the libretto, then he set it's sound.",,,Both,,
ensoborra,We understood what he explained to us.,Atusoboroire twayetegereza.,Atusoboroire twayetegereza.,We understood what he explained to us.,,,Both,,
omuzaano gw`orutuuti,The actors of the stage play rehearsed for many days.,Abazanibo omuzaano gw`orutuuti bakemanyiza kuzaan kumara ebiro biingi.,Abazanibo omuzaano gw`orutuuti bakemanyiza kuzaan kumara ebiro biingi.,The actors of the stage play rehearsed for many days.,,,Both,,
abazaani boona,the narrator knows all the character,omusubirizi amanyire omuzaani boona,omusubirizi amanyire omuzaani boona,the narrator knows all the character,,,Both,,
omuzaano imaratwoona,Their musical was so wonderful it pleased the audience.,omuzaano imaratwoona gukahuniriza abantu kandi baasemererwa.,omuzaano imaratwoona gukahuniriza abantu kandi baasemererwa.,Their musical was so wonderful it pleased the audience.,,,Both,,
