English,Nyoro
"and Jesus spoke up and asked the teachers of the Law and the Pharisees, “Does our Law allow healing on the Sabbath or not?”",Yesu yagarukamu nagambira abebiragiro Nabafalisayo ati Kyebiragiro okukiza ha Sabiti nandiki tikirikyo? 
"So Peter got ready and went with them. When he arrived, he was taken to the room upstairs, where all the widows crowded around him, crying and showing him all the shirts and coats that Dorcas had made while she was alive. ","Petero yaimuka yagenda nabo. Kandi obuyahikire, bamutwara omu kisika ekya haiguru; nabafakati bona bakaba bemerire haihi nauwe, niba'ra niboleka ebyesomeko nebyokujwara Dolika ebiyakozire, obwakaba ali nabo. "
Everything must be done in a proper and orderly way.,"Baitu byona bikorwege kurungi, kandi bihe’ranizibwege."
So they grabbed the son and killed him and threw his body out of the vineyard.,"Bamukwata, bamuita, bamunaga aheru yorugonjo rwemizabibu. "
"So Jesus went over, took the bread, and gave it to them; he did the same with the fish.","Yesu yaija, yakwata omugati, yabaha, nencu ati. "
And I trust in the Lord that I myself will be able to come to you soon.,Kandi baitu ninihira omu Mukama waitu nti nanyowe nyenka ndiija mpora. 
"They shouted back, “Crucify him!”",Bagaruka okutoka muno ngu Mubambe ha muti. 
And the officer's servant was healed that very moment.,"Yesu yagambira omunyoro owekihanda Omurumi ati Irokogende: nkokwoikireze, nukwo kibe kiti namberoli. Omuiru akakira omu kasumi ako."
"Don't you realize that it is better for you to have one man die for the people, instead of having the whole nation destroyed?” ","nobukwakuba okutekereza ngu Kibasemerire omuntu omu afe habwa bant, ihanga lyona lireke okuhwereke’ra. "
" “How terrible it will be for you, Chorazin! How terrible for you too, Bethsaida! If the miracles which were performed in you had been performed in Tyre and Sidon, the people there would have long ago put on sackcloth and sprinkled ashes on themselves, to show that they had turned from their sins! ","Zirikubona iwe Korazani, zirikubona iwe Betesaida, baitu ebyamani ebyakolirwe omu Turo na Sidoni. Bakwegarukiremu ira omu bitengo nomu iju. "
"“Come, let us go from this place.","baitu ensi emanye ningonza Isenyowe, kandi nak Isenyowe okuyandagire, nukwo nkora nti. Muimuke, turuge hanu."
"“I have gone about among all of you, preaching the Kingdom of God. And now I know that none of you will ever see me again. ","Kandi hati bunu dora, manyire nti inywe inywena, abanarabamuga nimbatebeza obukama, timulibona amaiso gange obundi. "
"They came to Jesus and begged him earnestly, “This man really deserves your help. ",Abo obubaizire hali Yesu bamwesengereza muno ngu Asemerire okuko’rwa kinu: 
"But the wisdom from above is pure first of all; it is also peaceful, gentle, and friendly; it is full of compassion and produces a harvest of good deeds; it is free from prejudice and hypocrisy. ","Baitu amagezi aganyakuruga haiguru, okubanza gaba agasemire, kandi agobusinge, amaculezi, agarahuka okwesengerezebwa, agaijuire okuganyira nebyana ebisemire, agatanyina okubaganizibwamu, agatanyina obugobya. "
An angel from heaven appeared to him and strengthened him. ,Kandi hakamubonekera maraika arugire omu iguru namuga’ramu amani. 
"We are not people who turn back and are lost. Instead, we have faith and are saved.",Baitu tituli bokwehinya enyuma omu kuhwereke'ra; baitu tuli bokuikiriza obwokujuna obwomezi.
"Matthew and Thomas, James son of Alphaeus, and Simon (who was called the Patriot), ","Batolomayo, na Matayo na Tomasi, na Yakobo owa Alifayo, na Simoni ayayetwaga Zerote, "
"The commander went over to Paul, arrested him, and ordered him to be bound with two chains. Then he asked, “Who is this man, and what has he done?” ","Kandi engabwz enkuru yai'ra haihi, yamukwata, naragira okumutamu enjegere ibiri, nakaguza ati Noha, kandi ekyakozire kiki? "
 We must not put the Lord,"Kunu tutalenga Mukama waitu, nkabamu halibo okubalengere, kandi enjoka ezi zabaita. "
who choose the reserved seats in the synagogues and the best places at feasts. ,"nentebe eza hagati omu maso’rokaniro, nebiikaro ebyekitinisa omu bugenyi: "
"Someone said to Jesus, “Your mother and brothers are standing outside and want to see you.”","Kyamugambirwa ngu Nyoko nabagenzi bawe bemerire aheru, nibase’ra okukurora. "
So the disciples went and did what Jesus had told them to do: ,"Abegeswa bagenda, bakora Yesu nkokuyabaragire, "
"That grace instructs us to give up ungodly living and worldly passions, and to live self-controlled, upright, and godly lives in this world, ","bona okujunwa, niziugmbi’ra okwanga obutatina Ruhanga nokwegomba okwomunsi, nukwo tube bomezi mubusinge bwa hati bunu mukwerinda nokuhiki’ra nokutina Ruhanga; "
"honor, glory, and praise!”","nibagamba niraka erihango ngu Omwana Gwentama ayaisirwe asemerire okuhabwa obusobozi, nobuguda, namagezi, namani, nokutinwa, nekitinisa, nokusimwa. "
" The God who said, “Out of darkness the light shall shine!” is the same God who made his light shine in our hearts, to bring us the knowledge of God's glory shining in the face of Christ.","Baitu Ruhanga nuwe yagambire ati Omusana gulijwa omu muirima, kandi nuwe yajwire omu mitima yaitu, okuleta omusana owokumnaya ekitinisa kya Ruhanga omu maiso ga Yesu Kristo."
 This same matter is spoken of again: “They will never enter that land where I would have given them rest.” ,Batalitaha omu kuhumura kwange.
But there was no one in heaven or on earth or in the world below,"Kandi busaho omu iguru, nobuhokuba hansi, nobuhokuba hansi yensi, ayasoboire okusuku'ra ekitabu nobukwakuba okukiroraho. "
"How glad and happy you will be, and how happy many others will be when he is born! ",Kandi iwe olitunga okusemererwa nokuhi’rwa; kandi baingi abalisemere’rwa okuzarwakwe. 
"God is to be trusted, the God who called you to have fellowship with his Son Jesus Christ, our Lord.","Ruhanga wokwesiga, ayabeseze okutaha omu kuterana Okwomwanawe Yesu Kristo Mukama waitu. "
"For the Law of Moses has been read for a very long time in the synagogues every Sabbath, and his words are preached in every town.”","Baitu okuruga obusinge obwaira Musa ayina omu rubuga rwona abamugambaho, obwasomebwa omu maso'rokaniro Sabiti zona."
In great anguish he prayed even more fervently; his sweat was like drops of blood falling to the ground.,Kandi akaba nahu’rwa nayekamba muno okusaba: nempitaze nisisana nkobutonyezi obwesagama obukoto mubugwa hansi. 
"Judas was a member of our group, for he had been chosen to have a part in our work.”","Baitu akaba'rwa hamu naitwe, nahebwa omugabo ogwokuhereza kunu. "
"As for us, our hope is that God will put us right with him; and this is what we wait for by the power of God's Spirit working through our faith. ",Baitu itwe Obwomwoyo ntutegereze omu kuikiriza okunihira okuhu’ra. 
" I had to feed you milk, not solid food, because you were not ready for it. And even now you are not ready for it, ","Nkabanywisa amata, kunu tibiribyokulya: baitu mukaba mutasoboire: na hati hona timurukusobora: "
and sent the rich away with empty hands.,Nabaguda ababingire abatanyina kintu.
"They gave us many gifts, and when we sailed, they put on board what we needed for the voyage.",kandi obutwarugireyo batuletera ebitwaseruire.
"The sin of the Jews brought rich blessings to the world, and their spiritual poverty brought rich blessings to the Gentiles. Then, how much greater the blessings will be when the complete number of Jews is included!","Kandi rundi okusisa kwabu kuraba kwafokere obuguda obwensi, kandi okusobwa kwabu kuraba kwafokere obuguda Obwabamahanga: okuhikirizibwa kwabu tikurukukira muno?"
"So then, you Gentiles are not foreigners or strangers any longer; you are now citizens together with God's people and members of the family of God. ","Nukwo timukyali banyaihanga nabahinguzi, baitu muli boruganda rumu babarukwera, kandi muli bomungu ya Ruhanga, "
"So get rid of every filthy habit and all wicked conduct. Submit to God and accept the word that he plants in your hearts, which is able to save you.","Nukwo muiheho ekinugwa kyona nobubi obusagire. muhabwe nobuculezi ekigambo ekibyairwe, ekirukusobora okujuna obwomezi bwanyu. "
"And he added, “This is the very reason I told you that no people can come to me unless the Father makes it possible for them to do so.”","Yabagambira ati Nikyo mbagambirire nti Busaho arukusobora okuija namberendi, rundi akihairwe Isenyowe."
For we have heard of your faith in Christ Jesus and of your love for all God's people. ,"baitu tukahu’ra okuikiriza kwanyu omu Kristo Yesu, kandi okugonza okumunyinakwo hali abarukwera bona, "
"For while we were still with you, we told you ahead of time that we were going to be persecuted; and as you well know, that is exactly what happened. ","Baitu mazimakwo obutukaba tuli hamu nainywe, tukabatebeza kara ngu ntugende okusalizibwa; kandi nukwo kihikirire kiti nkokumumanyire. "
"“Good for you, Simon son of John!” answered Jesus. “For this truth did not come to you from any human being, but it was given to you directly by my Father in heaven. ","Yesu yagarukamu namugambira ati Oyina omugisa Simono Wayona, baitu omubiri nesagama tibikusukulire eki, rundi Isenyowe ali omu iguru. "
"But his answer was: “My grace is all you need, for my power is greatest when you are weak.” I am most happy, then, to be proud of my weaknesses, in order to feel the protection of Christ's power over me. ","Kandi yangambira ati Embabazi zange nizikumara: baitu amani gange nigahiki’ra omu bagara. Nukwo nokusemererwa kwingi ndayenyumiriza ebyobugara bwange, amani ga Kristo gaikale hali nyowe. "
"They made the apostles stand before them and asked them, “How did you do this? What power do you have or whose name did you use?”","Kandi obubamazire okubata hagati, bakaguza ngu Mani ki, rundi ibara ki, aribakoleze eki? "
"We have heard that some who went from our group have troubled and upset you by what they said; they had not, however, received any instruction from us. ","baitu tuhulire ngu abantu abarugire omulitwe bakabatuntuza nebigambo, nibaga'ra enyuma emitima yanyu; "
"For since a church leader is in charge of God's work, he should be without fault. He must not be arrogant or quick-tempered, or a drunkard or violent or greedy for money. ","abobwereme. Baitu omurolerezi kimuhikirire kubataho ekyokuhanwa, nkomukeeto wa Ruhanga; atali wobwereme, atali wekiniga, atarukukunganira ha marwa, atatera atali mwegombi wamagoba, gobu "
"He will change our weak mortal bodies and make them like his own glorious body, using that power by which he is able to bring all things under his rule.","Alihindura omubiri ogwokundazibwa kwaitu, nagusisaniza nomubiri ogwekitinisaniza nomubiri ogwekitinisakye, nkokukora oku okukuli okurukumusoboza okuta ebintu byona hansiye."
"So he made a whip from cords and drove all the animals out of the Temple, both the sheep and the cattle; he overturned the tables of the moneychangers and scattered their coins; ","Yagomora omuguha ogwobuguha, yabinga zona omu yekaru, nentama nente; yasesa efeza ezabakaba nizbazihingisa, yajumika ebyase byabu; "
On his robe and on his thigh was written the name: “King of kings and Lord of lords.”,Kandi ha kyokujwarakye na ha kiberokye ayina ibara erihandikirwe liti OMUKAMA WABAKAMA KANDI MULEMI WABANYORO.
"Some of them began to spit on Jesus, and they blindfolded him and hit him. “Guess who hit you!” they said. And the guards took him and slapped him.","Kandi abamu babanza okumucwera amacwanta, nokumusweke’ra amaiso, noku mutera, nokumugambira ngu Rugura: nabahereza bamutwara nibamutera empi."
 Sarah was like that; she obeyed Abraham and called him her master. You are now her daughters if you do good and are not afraid of anything.,"nka Sara okuyahu’raga Iburahimu namweta mukamwawe: nainywe muli banabe obumuraba nimukora kurungi, kandi mutarukutinisibwa enkize yyona. "
"In the same way,” concluded Jesus, “none of you can be my disciple unless you give up everything you have.","Nukwo omuntu wena halinywe atasiga byona ebyayinabyo, tasobora kuba mwegeswa wange. "
"The violent storm continued, so on the next day they began to throw some of the ship's cargo overboard, ","Kandi obutwarwaine muno nihunga, ha kiro ekyakabiri, babanza okunaga ebintu omu nyanja; "
 Those who try to save their own life will lose it; those who lose their life will save it. ,Wena anyakuse’ra okukiza obwomezibwe nuwe alibubuza; baitu wena anyakubuza obwomezibwe nuwe alibukiza. 
But it was very good of you to help me in my troubles. ,Baitu mukakora kurungi okuterana nanyowe omu muhito gwange. 
"If people hear my message and do not obey it, I will not judge them. I came, not to judge the world, but to save it. ","Kandi anyakuhu’ra ebigambo byange atarukubikwata, nyowe timucwera omusango: baitu okujuna ensi. "
For I hear of your love for all of God's people and the faith you have in the Lord Jesus. ,"Obumpu’ra okugonza kwawe nokuikiriza kwawe okwonyinakwo hali Mukama waitu Yesu, na hali abarukwera bona; "
"They have been told that you have been teaching all the Jews who live in Gentile countries to abandon the Law of Moses, telling them not to circumcise their children or follow the Jewish customs. ","kandi bakagambirwa ebigambobyawe nguiwe oyegese Abayudayabonabali omu Bamahanga okulekayo Musa, nobagambira baleke okusara abana babu, nobukwakuba okugenda omu ngeso ezi. "
"It is the smallest of all seeds, but when it grows up, it is the biggest of all plants. It becomes a tree, so that birds come and make their nests in its branches.”","niko kake okukira embibo yona, baituobukanyeta kaba kakoto okukira obunyansi bwona, kafoka omuti, enyonyi ezomu mwanya ziija ziikara omu matagi gagwo."
" his feet shone like brass that has been refined and polished, and his voice sounded like a roaring waterfall. ","ebigerebye nibisisana nkomulinga gwomuhe're, ogusemezibwe omu mu'ro; nirakalye liri nkiraka lyamaizi amaingi. "
But thanks be to God! For in union with Christ we are always led by God as prisoners in Christ's victory procession. God uses us to make the knowledge about Christ spread everywhere like a sweet fragrance. ,"Baitu Ruhanga asimwe, arukutusinguza obutosa omu Kristo, nayoleka omulitwe ekisorokoko ekyokumanya uwe omu biikaro byona. "
"The jailer woke up, and when he saw the prison doors open, he thought that the prisoners had escaped; so he pulled out his sword and was about to kill himself. ","Kandi omulinzi owenju yenkomo, obuyasisimukire, yabona enyingi zenju yenkomo zikingukire, yasomora empirimaye nayenda okweyita, atekerize abanyankommo bacwire. "
Later on Jesus was having a meal in Levi's house.,"Yaimuka, yamukuratira.Kandi obwakaba aikalire omu nju yogu nalya, abahoza baingi nabasisi baika’ra hamu na Yesu nabegeswade; baitu bakaba bali baingi abamukuratire. "
A woman there had an evil spirit that had kept her sick for eighteen years; she was bent over and could not straighten up at all. ,"Dora, hakaba harumu omukazi akabayina endwara emyaka ikumi nomunana; akaba aramaire, atarukusobora okwego’ra. "
So it is no great thing if his servants disguise themselves to look like servants of righteousness. In the end they will get exactly what their actions deserve.,Nukwo tikiri kigambo kikoto abaherezabe obubafora nkabahereza abokuhiki’ra; kandi emperor yabu eriba nkemirimo yabu. 
"The next day we arrived at Sidon. Julius was kind to Paul and allowed him to go and see his friends, to be given what he needed. ","Ha kiro ekyakabiri twahika Sidoni: kandi Yulyo yamugira Paulo, kurungi, namuikiriza okubungira enganjanize, nokuhumura. "
"Since it was the day before the Sabbath and because the tomb was close by, they placed Jesus' body there.","Kandi ekiro obwokuba kya Kutekaniza kwabayudaya, kandi ekituro obwokuba haihi, nuho bamutaire Yesu."
The apostles and the other believers throughout Judea heard that the Gentiles also had received the word of God. ,"KANDI abakwenda na bene babu abakaba bali omu Buyudaya, bakahu'ra ngu Abamahanga nabo bakahebwa ekigambo kya Ruhanga. "
"The servant woman saw him there and began to repeat to the bystanders, “He is one of them!” ","Kandi omuzana ogu yamurora, yabanza okugambira abakaba bemerireho ati Onu wowabu. "
"“Why do you look at the speck in your brother's eye, but pay no attention to the log in your own eye? ","Kandi noro’ra ki akantu akanyakuli ha liso lyomugenzi wawe, baitu torukutekereza enyomyo enyakuli ha liso lyawe? "
Someone who is in the field must not go back to get a cloak. ,ntu ebiri omu njuye: ogu ali mumisiri ataligaruka okutwara 
" I remember the sincere faith you have, the kind of faith that your grandmother Lois and your mother Eunice also had. I am sure that you have it also. ","obunaijukizibwe okuikiriza okutali kwobugobya okuliomuliwe, kandi nukwo kwabandize ira omu nyokwenkuru Loi, nomu nyoko Unike; kandi nyeteherize mali nti kuli nomuliwe. "
What soldiers ever have to pay their own expenses in the army? What farmers do not eat the grapes from their own vineyard? What shepherds do not use the milk from their own sheep?,"Noha agenda okuramaga naramagya ebye wenka? Noha akaba abyaire orugonjo rwemizabibu, kunu talya ha byana byomu? Kandi noha alias igana, kunu tanywa ha mata gigana? "
"Jesus said to his disciples, “Things that make people fall into sin are bound to happen, but how terrible for the one who makes them happen! ",KANDI akagambira abegeswabe ati Tikisoboka ebitabaijura okutaija: baitu zirimubona ogu anyakubireta! 
"I do not want to take up too much of your time, however, so I beg you to be kind and listen to our brief account. ",Baitu ndeke okugarukira kwokukujwahya ninkwesengereza okutuhu'ra ebigambo bike obwembabazi zawe. 
"My friends: I myself feel sure that you are full of goodness, that you have all knowledge, and that you are able to teach one another. ","Nanyowe nyetegerize mali ebyanyu, bagenzi bange, nti inywe muijuire oburungi, muijuire okumanya kwona, nimusobora okutegekerangana amagezi. "
"I baptize you with water, but he will baptize you with the Holy Spirit.”",Nyowe nkababatiza namaizi; baitu ogu alibabatiza Nomwoyo Ogurukwera.
"The crowds paid close attention to what Philip said, as they listened to him and saw the miracles that he performed. ","Kandi abebitebe bahu'ra nomutima gumu ebigambo Firipo ebiyagambire, obubahulire nibarora obwokuro'raho obuyakozire. "
then we who are living at that time will be gathered up along with them in the clouds to meet the Lord in the air. And so we will always be with the Lord. ,"nubwo naitwe abomezi abasigaraho tulitwarwa hamu nabo omu bicu, okutangi’ra Mukama waitu omu mwanya: kandi nukwo tuliikara tuti na Mukama waitu omu mwanya: "
"and so I endure everything for the sake of God's chosen people, in order that they too may obtain the salvation that comes through Christ Jesus and brings eternal glory. ","Nikyo ndukugumisiriza byona habwabakome, kandi nabo batunge okujunwa okuli omu Kristo Yesu, hamu nekitinisa ekyebiro nebiro. "
But Christ is faithful as the Son in charge of God's house. We are his house if we keep up our courage and our confidence in what we hope for.,"baitu Kristo akabali wokwesiga nkomwana omu njuye, enjuye nitwe, obutukwatira kimu obumanzi bwaitu, nokwenyumiza okwokunihira kwaitu kugumire okuhikya ha mpero. "
"to bring judgment on all, to condemn them all for the godless deeds they have performed and for all the terrible words that godless sinners have spoken against him!”","okucwera bona omusango, nokuhambiriza omusango bona abatarukutina Ruhanga, obwengeso zabu zano ezobutatina Ruhanga ezibakozire kubi: nobwebigambo byona ebigumangaine, abasisi abatarukutina Ruhanga ebibamugambireho. "
"It is not that I just want to receive gifts; rather, I want to see profit added to your account. ",Tibuli obwokuse’ra ekisembo nyowe; baitu ninse’ra abyana ebirukukanya namberemuli. 
"He also talked and disputed with the Greek-speaking Jews, but they tried to kill him. ","omu Yerusalemu, natebeza nobumanzi omu ibara lya Mukama waitu. Kandi yabazaga nahakana Nabaherenisiti; baitu bakase'ra okumuita. "
And any woman who prays or proclaims God's message in public worship with nothing on her head disgraces her husband; there is no difference between her and a woman whose head has been shaved. ,"Baitu omukazi obwasaba rundi obwatebeza, anyina omutwegwe gutaswekerirwe, buli akwasize ensoni omutwegwe: baitu nikyo kimu amwirwe. "
"Then Annas sent him, still tied up, to Caiaphas the High Priest.",Kandi Ana yanutuma aboherwe hali Kayafa nyakatagara omukuru wabu.
"“This calls for wisdom and understanding. The seven heads are seven hills, on which the woman sits. They are also seven kings: ","Nuho hali amakuru agamagezi. Emitwe omusanju nizo nsozi musanju, omukazi ezaikalireho: "
"Simon saw that the Spirit had been given to the believers when the apostles placed their hands on them. So he offered money to Peter and John, ","Kandi Simoni obuyaboine bakahebwa Omwoyo Ogurukwera obwokutebwa Omwoyo Ogurukwera obwokutebwaho emikono eyabakwenda, yabaletera erupiya, "
Then Jesus started off with him. So many people were going along with Jesus that they were crowding him from every side.,"Yagenda Nauwe; ekitebe kingi kyamukuratira, nibamufunza."
"He rescued us from the power of darkness and brought us safe into the kingdom of his dear Son, ","ayajunire itwe omu busobozi bwomuirima, natutahya omu bukama Bwomwana owokugonzakwe, "
"The High Priest asked Stephen, “Is this true?”",KANDI nyakatagara omukuru wabu akagamba ati Ebi nukwo biri biti? 
"then he brought it on a plate and gave it to the girl, who gave it to her mother. ","yaletara omutwegwe omu rucuba, yaguha omuisiki; omuisiki yaguha nyina, "
" But if it grows thorns and weeds, it is worth nothing; it is in danger of being cursed by God and will be destroyed by fire.","baitu obweyana amahwa namatojo eyangwa, kandi eri haihi nokukyenwa: empero yayo nukwo kwokebwa."
"You Samaritans do not really know whom you worship; but we Jews know whom we worship, because it is from the Jews that salvation comes. ",Inywe muramya ekimutarukumanya: itwe turamya ekiturukumanya: baitu okujunwa nukuruga omu Bayudaya. 
" You do not believe me when I tell you about the things of this world; how will you ever believe me, then, when I tell you about the things of heaven? ","Obumbagambire ebigambo ebyensi mutarukuikiriza, muliikiriza muta obundibagambira ebigambo ebyomu iguru? "
Many who heard Jesus say these things believed in him.,"Obwakaba nagamba ebigambo ebi, abantu baingi bakamuikiriza."
" He went into the house of God, and he and his men ate the bread offered to God, even though it was against the Law for them to eat it—only the priests were allowed to eat that bread. ","okuyatahire omu nju ya ruhanga, nalya emigati eyokwoleka, ekitali kyebiragiro okugirya uwe, nobubakuba abakaba ayinabo, rundi banyakatagara bonka? "
"But you, my friend, do those very things for which you pass judgment on others! Do you think you will escape God's judgment? ","Naiwe omuntu anyakuhana abo abakora ebi, nobikora wenka, otekerize ngu olijunwa omu kuhana kwa Ruhanga? "
" He committed no sin, and no one ever heard a lie come from his lips. ",Ogu atarakozire kibi nobubwakuba obugobya butazoke omu kanwake: 
"Then he appeared to more than five hundred of his followers at once, most of whom are still alive, although some have died. ","nubwo yarorwa bene baitu okukira bikumi bitano omurundi gumu, hali abo abaingi baikaire na hati, baitu abamu bakagwijagira; "
"from Jerusalem, from the territory of Idumea, from the territory on the east side of the Jordan, and from the region around the cities of Tyre and Sidon. All these people came to Jesus because they had heard of the things he was doing. ","Na Idumaya, na nseri ya Yorudani nabahe’raine Turo na Sidoni, ekitebe kingi, obubahulire ebiyakozire byona, baija namberali. "
"In the same way, when working with Gentiles, I live like a Gentile, outside the Jewish Law, in order to win Gentiles. This does not mean that I don't obey God's law; I am really under Christ's law. ","hali abatanyina biragiro, tikuli kutaba nebiragiro hali Ruhanga, baitu owomu biragiro bya Kristo, nukwo ntunge abatanyina biragiro. "
"“You must not tell me what to do,” Jesus replied. “My time has not yet come.”","Yesu yamugambira ati Mukazi, ninjunana ki nyowe naiwe? Akasumi kange tikakahikire. "
"I have to boast, even though it doesn't do any good. But I will now talk about visions and revelations given me by the Lord. ","KIMPIKIRIRE okwenyumiza, nobukitasemire, baitu ndaija omu kwolekwa nokusuku’ra ebya Mukama waitu. "
All that my Father has is mine; that is why I said that the Spirit will take what I give him and tell it to you.,Byona byona Isenyowe ebyanyinabyo nibyo byange: ekingambire nti Alikwata ha byange nabagambira inywe. 
and gave them orders not to tell others about him. ,"yabakiza bona, nabatere’ra batamurangana, "
"Tell us, is it against our Law for us to pay taxes to the Roman Emperor, or not?”","kyebiragiro itwe okuzinira Kaisali omusoro, nandiki tikirikyo? "
"I am telling you the truth: you will cry and weep, but the world will be glad; you will be sad, but your sadness will turn into gladness. ","Mali mali nimbagambira nti Inywe mulituntura, baitu okuntuntura kwanyu kulifoka okusemererwa. "
And he drove them out of the court. ,Yababinga hali ekitebe ekicwerwaho emisango. 
"She answered, “They have taken my Lord away, and I do not know where they have put him!”","Bamugambira ngu Omukazi nolizibwa ki? Yabagambira ati Baitu baihiremu Mukama wange, nanyowe tindukumanya nambere bamutaire. "
"The men who were traveling with Saul had stopped, not saying a word; they heard the voice but could not see anyone. ","Kandi abantu abakaba nibagenda nauwe bakeme'ra bahunirire, baitu bakahu'ra iraka, batabone muntu. "
" Instead, as the scripture says: “If your enemies are hungry, feed them; if they are thirsty, give them a drink; for by doing this you will make them burn with shame.” ","Baitu omunyanzigwa wawe obwarumwa enjara, omulise: obwakwatwa iroho, omunywise; baitu obwokora oti, buli omukumire Amanda gomu’ro ha mutwe. "
"Their answer was, “We would not have brought him to you if he had not committed a crime.”",Bagarukamu nibagamba ngu Omuntu onu kakuba atakozire kubi titwakumulesere namberoli. 
"This made the king very sad, but he could not refuse her because of the vows he had made in front of all his guests. ","Kandi omukama yatuntura muno: baitu habwebirahirobye, na habwahbo abakaba baikalire nauwe okulya, atagonze kumuima. "
"But now you are proud, and you boast; all such boasting is wrong.",Baitu hati bunu nimwenyumiza iywenka omu kwehamba kwanyu: okwenyumiza kwon okuli kuti kubi. 
"I did not see a temple in the city, because its temple is the Lord God Almighty and the Lamb. ",Kunu ntabonemu yekaru: baitu Mukama Ruhanga Owobusobozi bwona Nomwana Gwentama niyo yekaru yarwo. 
" She was given the two wings of a large eagle in order to fly to her place in the desert, where she will be taken care of for three and a half years, safe from the dragon's attack. ","Kandi omukazi yahabwa amapapa abiri agisamba erikoto, ahu'rukire omu irungu hali ekiikarokye, nambere alisibwa ekicu nebicu nekicweka kyekicu, airukire amaiso genjoka. "
"“But the Most High God does not live in houses built by human hands; as the prophet says,",Baitu Anyakuli haiguru muno taikara omu nju ezikozirwe nemikono; nabi nkokuyagambire ati 
"“If you have ears, then, listen to what the Spirit says to the churches!",Anyakuina okutu ahu're Omwoyo ekyagambira ekanisa.
"of being a servant of Christ Jesus to work for the Gentiles. I serve like a priest in preaching the Good News from God, in order that the Gentiles may be an offering acceptable to God, dedicated to him by the Holy Spirit. ","nyowe okuba omuhereza owa Kristo, Yesu hali Abamahanga, ninko’ra enjiri ya Ruhanga omulimo gwa nyakatagara, nukwo okuhonga okwa Bamahanga kuikirizibwe obukusemezebwa Omwoyo Ogurukwera. "
"Since all these things will be destroyed in this way, what kind of people should you be? Your lives should be holy and dedicated to God, ","Obumuboine ngu ebintu byona birya biti, kibahikirire okuba muta omu ngeso zona ezirukwera nokutina Ruhanga? "
"He says that we will look for him but will not find him, and that we cannot go where he will be. What does he mean?”",Kinu kiki ekyagambire ati Mulinse’ra timulimbona: kandi ati namberendi inywe timusobora kuijayo?
"So a report spread among the followers of Jesus that this disciple would not die. But Jesus did not say he would not die; he said, “If I want him to live until I come, what is that to you?”","kandi ekigambo eki kikahika omu bene babu ngu Omwegeswa ogu talifa: baitu Yesu atamugambire ati talifa; baitu ati Obundaba ninyenda aikalehoga okuhikya obundiija, nojunana ki?"
"The Jewish leaders tried to arrest Jesus, because they knew that he had told this parable against them. But they were afraid of the crowd, so they left him and went away.","Kabdi bakase’ra okumukwata; nibatina ekitebe, baitu nbakamanya abacwerire bo orujumo oru: bamuleka, bagenda."
They took their money and started grumbling against the employer. ,"Obubagihairwe, "
The daughter of Herodias,"kandi omuisiki wa herodiya wenka obuyaizire natera entogoro, herode nabo abakaba baikalire nauwe okulya bamusemere’rwe; kandi omukama yagambira omuisiki ati Nsaba ekyorukugonza kyona, ndakikuha. "
"I shall probably spend some time with you, perhaps the whole winter, and then you can help me to continue my trip, wherever it is I shall go next. ","kandi rundi ndiikara nainywe, rundi ndimarayo nebiro byembeho: nukwo mumbohe’re omu muhanda gwange handikagenda. "
“Crucify him!” they all answered.,Pirato yabagambira ati kandi ndamugira nta Yesu ayetwa kristo? Bona bagamba ngu Abambwe ha Muti. 
 For whoever is not against us is for us. ,"Baitu atali munyanzigwa waitu, "
" to be shepherds of the flock that God gave you and to take care of it willingly, as God wants you to, and not unwillingly. Do your work, not for mere pay, but from a real desire to serve. ","mulisege igana lya Ruhanga eriri omulinywe, nimulirole’ra, tibuli obwamani baitu obwokugonza, nka hali Ruhanga; nobulwakuba okwegomba ensagi eyobugobya, baitu obwomutima ogutekanize; "
"But when Joseph heard that Archelaus had succeeded his father Herod as king of Judea, he was afraid to go there. He was given more instructions in a dream, so he went to the province of Galilee ","Baitu obuyahulire Akiraho nuwe mukama wa Buyudaya, agweserwe ise herode, yatina okugarukayo.baitu obuyahabuirwe Ruhanga omu kiroto yayehinguliriza, yaraba ha rubaju orwa Galiraya, "
" Here, then, is my receipt for everything you have given me—and it has been more than enough! I have all I need now that Epaphroditus has brought me all your gifts. They are like a sweet-smelling offering to God, a sacrifice which is acceptable and pleasing to him. ","Baitu nyina byona ninsaga: nyijuire, obumpairwe Epaforodito ebi ebyarugire namberemuli, ekyonzira ekiikirizibwa, ekirukusemera hali Ruhanga. "
May the Lord grant him his mercy on that Day! And you know very well how much he did for me in Ephesus.,( Mukama waitu amuhe okubona okuganyirwa okuruga hali Mukama omu kiro eki); kandi ebi byona ebiyamperizemu Efezo omanyire kurungi mali.
"They took Jesus to a place called Golgotha, which means “The Place of the Skull.” ","Bamuleta omu kiikaro Gorogosa, ekimanyisibwa ngu Kiikaro kyoruhanga. "
"No one will say, ‘Look, here it is!’ or, ‘There it is!’; because the Kingdom of God is within you.”","kandi tibaligamba ngu Dora, hanu! Rundi hali! Baitu, dora, obukama bwa Ruhanga buli omulinywe. "
"Jesus answered, “It isn't right to take the children's food and throw it to the dogs.”","Yagarukamu nagamba ati Tikiri kirungi okukwata ebyokulya ebyabana, okubinagira obubwa. "
